Timestamp,Vote for your least favorite season!
8/17/2020 16:36:05,Season 12
8/17/2020 16:36:41,Season 12
8/17/2020 16:36:43,Season 6
8/17/2020 16:37:13,Season 12
8/17/2020 16:37:43,Season 12
8/17/2020 16:38:09,Season 12
8/17/2020 16:40:08,Season 6
8/17/2020 16:41:12,Season 12
8/17/2020 16:41:27,Season 12
8/17/2020 16:43:21,Season 5
8/17/2020 16:43:34,Season 12
8/17/2020 16:43:47,Season 12
8/17/2020 16:43:55,Season 12
8/17/2020 16:44:37,Season 12
8/17/2020 16:45:18,Season 12
8/17/2020 16:45:50,Season 12
8/17/2020 16:46:06,Season 12
8/17/2020 16:46:30,Season 12
8/17/2020 16:47:38,Season 12
8/17/2020 16:47:58,Season 12
8/17/2020 16:48:50,Season 6
8/17/2020 16:51:45,Season 6
8/17/2020 16:52:00,Season 12
8/17/2020 16:52:11,All Stars 2
8/17/2020 16:57:07,Season 6
8/17/2020 16:58:12,All Stars 2
8/17/2020 16:59:17,Season 12
8/17/2020 17:01:27,Season 5
8/17/2020 17:01:58,Season 6
8/17/2020 17:02:18,Season 6
8/17/2020 17:02:57,Season 12
8/17/2020 17:04:07,Season 12
8/17/2020 17:04:33,Season 12
8/17/2020 17:05:19,Season 5
8/17/2020 17:09:34,Season 6
8/17/2020 17:11:07,Season 5
8/17/2020 17:14:39,Season 12
8/17/2020 17:20:02,Season 6
8/17/2020 17:24:43,Season 12
8/17/2020 17:25:33,All Stars 2
8/17/2020 17:28:49,Season 12
8/17/2020 17:29:31,Season 12
8/17/2020 17:30:31,Season 12
8/17/2020 17:31:20,Season 6
8/17/2020 17:35:11,Season 6
8/17/2020 17:36:15,Season 5
8/17/2020 17:38:33,Season 5
8/17/2020 17:38:48,Season 6
8/17/2020 17:39:06,Season 5
8/17/2020 17:39:17,Season 6
8/17/2020 17:40:34,Season 5
8/17/2020 17:42:03,Season 12
8/17/2020 17:45:07,Season 12
8/17/2020 17:45:52,Season 6
8/17/2020 17:48:33,All Stars 2
8/17/2020 17:52:01,Season 12
8/17/2020 17:55:12,Season 5
8/17/2020 17:55:49,Season 5
8/17/2020 17:59:12,Season 12
8/17/2020 18:02:37,Season 6
8/17/2020 18:04:03,Season 12
8/17/2020 18:08:58,Season 6
8/17/2020 18:11:44,Season 12
8/17/2020 18:14:37,Season 12
8/17/2020 18:21:45,Season 12
8/17/2020 18:22:12,Season 6
8/17/2020 18:22:57,Season 6
8/17/2020 18:23:36,Season 5
8/17/2020 18:24:37,Season 5
8/17/2020 18:27:37,Season 5
8/17/2020 18:29:38,Season 12
8/17/2020 18:30:02,Season 6
8/17/2020 18:31:22,Season 5
8/17/2020 18:32:15,Season 6
8/17/2020 18:33:27,Season 6
