Timestamp,Vote for your least favorite season!
8/1/2020 15:01:40,All Stars 1
8/1/2020 15:05:12,Season 11
8/1/2020 15:08:13,All Stars 1
8/1/2020 15:08:31,Season 11
8/1/2020 15:08:40,Season 11
8/1/2020 15:09:29,All Stars 1
8/1/2020 15:09:35,All Stars 1
8/1/2020 15:10:06,Season 11
8/1/2020 15:12:15,All Stars 5
8/1/2020 15:12:36,Season 11
8/1/2020 15:12:46,All Stars 1
8/1/2020 15:13:17,Season 11
8/1/2020 15:13:23,Thailand Season 2
8/1/2020 15:14:04,All Stars 2
8/1/2020 15:14:31,Thailand Season 2
8/1/2020 15:14:47,Season 10
8/1/2020 15:15:22,Season 11
8/1/2020 15:17:19,Season 11
8/1/2020 15:17:44,Season 10
8/1/2020 15:20:53,Season 11
8/1/2020 15:21:51,All Stars 5
8/1/2020 15:22:38,Season 11
8/1/2020 15:23:56,Season 11
8/1/2020 15:24:23,All Stars 1
8/1/2020 15:25:56,Thailand Season 1
8/1/2020 15:28:48,All Stars 1
8/1/2020 15:30:21,Season 11
8/1/2020 15:35:12,All Stars 1
8/1/2020 15:42:37,All Stars 3
8/1/2020 15:44:11,Season 7
8/1/2020 15:44:46,All Stars 1
8/1/2020 15:46:12,Season 1
8/1/2020 15:47:26,Season 1
8/1/2020 15:50:49,Season 11
8/1/2020 15:54:19,All Stars 5
8/1/2020 15:57:24,Season 7
8/1/2020 16:00:42,Season 8
8/1/2020 16:01:26,Season 1
8/1/2020 16:01:59,Thailand Season 2
8/1/2020 16:02:30,Season 11
8/1/2020 16:03:37,Season 5
8/1/2020 16:04:02,Thailand Season 1
8/1/2020 16:11:11,Season 1
8/1/2020 16:13:36,All Stars 1
8/1/2020 16:13:48,Season 8
8/1/2020 16:14:16,All Stars 1
8/1/2020 16:14:50,Thailand Season 1
8/1/2020 16:19:56,Season 11
8/1/2020 16:21:23,All Stars 1
8/1/2020 16:22:20,Season 11
8/1/2020 16:24:34,Season 11
8/1/2020 16:25:19,Season 3
8/1/2020 16:26:01,Season 7
8/1/2020 16:31:10,All Stars 5
8/1/2020 16:32:18,Season 1
8/1/2020 16:37:13,All Stars 3
8/1/2020 16:40:15,Season 11
8/1/2020 16:47:00,Season 11
8/1/2020 16:50:49,Season 11
8/1/2020 16:58:08,All Stars 1
8/1/2020 16:59:19,Season 11
8/1/2020 17:00:08,All Stars 1
8/1/2020 17:02:59,Season 2
8/1/2020 17:03:25,All Stars 2
8/1/2020 17:09:13,Season 7
8/1/2020 17:12:15,Season 11
8/1/2020 17:12:27,Season 11
8/1/2020 17:14:54,Season 11
8/1/2020 17:18:38,All Stars 1
8/1/2020 17:28:43,Season 6
8/1/2020 17:31:52,Season 8
8/1/2020 17:36:55,Season 7
8/1/2020 17:38:42,Season 4
8/1/2020 17:50:04,Season 10
8/1/2020 17:51:22,Season 11
8/1/2020 17:56:31,Season 11
8/1/2020 17:59:07,All Stars 3
8/1/2020 17:59:29,Season 10
8/1/2020 18:01:39,All Stars 1
8/1/2020 18:07:24,Season 4
8/1/2020 18:07:40,All Stars 4
8/1/2020 18:08:27,All Stars 5
8/1/2020 18:10:03,Season 11
8/1/2020 18:10:58,Season 11
8/1/2020 18:13:13,Season 7
8/1/2020 18:16:11,Season 11
8/1/2020 18:24:25,Season 11
8/1/2020 18:25:08,All Stars 1
8/1/2020 18:35:24,Season 11
8/1/2020 18:36:37,Season 7
8/1/2020 18:42:06,Season 1
8/1/2020 18:45:44,All Stars 1
8/1/2020 18:46:20,All Stars 3
8/1/2020 18:55:58,All Stars 1
8/1/2020 18:59:58,All Stars 1
8/1/2020 19:00:26,Season 11
8/1/2020 19:14:31,All Stars 1
8/1/2020 19:29:59,Thailand Season 1
8/1/2020 19:34:55,Season 9
8/1/2020 19:35:26,Season 10
8/1/2020 19:37:14,Season 12
8/1/2020 19:40:49,Thailand Season 2
8/1/2020 19:48:59,Season 2
8/1/2020 20:09:21,Season 1
8/1/2020 20:20:50,All Stars 1
8/1/2020 20:31:41,Season 11
8/1/2020 20:33:05,Season 7
8/1/2020 20:54:49,All Stars 1
8/1/2020 21:10:10,Season 10
8/1/2020 21:23:32,Season 10
8/1/2020 21:58:47,Season 1
8/1/2020 22:32:45,Season 11
8/1/2020 22:34:49,Season 11
8/1/2020 22:46:09,All Stars 1
8/1/2020 23:12:06,All Stars 1
8/1/2020 23:51:02,Season 11
8/2/2020 0:02:01,Season 7
8/2/2020 0:15:40,All Stars 1
8/2/2020 0:19:05,Season 1
8/2/2020 0:39:33,All Stars 1
8/2/2020 0:44:51,Season 7
8/2/2020 1:07:26,Season 1
8/2/2020 1:12:13,Season 11
8/2/2020 1:39:47,Season 11
8/2/2020 2:43:54,All Stars 1
8/2/2020 2:47:59,Season 11
8/2/2020 3:15:16,All Stars 1
8/2/2020 3:19:27,All Stars 1
8/2/2020 3:57:43,Thailand Season 2
8/2/2020 4:09:24,All Stars 1
8/2/2020 5:01:25,Season 11
8/2/2020 5:26:15,Season 11
8/2/2020 5:30:41,All Stars 1
8/2/2020 5:50:51,Season 6
8/2/2020 6:26:14,All Stars 1
8/2/2020 6:30:48,All Stars 1
8/2/2020 6:46:37,Season 11
8/2/2020 6:48:24,Season 10
8/2/2020 6:57:30,All Stars 1
8/2/2020 7:17:37,All Stars 5
8/2/2020 7:26:55,All Stars 1
8/2/2020 7:31:18,Thailand Season 1
8/2/2020 8:37:04,Season 9
8/2/2020 9:54:29,All Stars 1
8/2/2020 10:46:23,Season 4
8/2/2020 10:47:22,All Stars 1
8/2/2020 11:01:25,All Stars 1
8/2/2020 11:44:28,All Stars 1
8/2/2020 12:01:37,Season 11
8/2/2020 12:17:08,All Stars 1
8/2/2020 12:20:36,All Stars 2
8/2/2020 12:38:30,All Stars 3
8/2/2020 15:03:53,Thailand Season 1
